penalty,mixture,.metric,.estimator,mean,n,std_err,.config
1e-4,1,pr_auc,binary,0.9694411267843408,5,7.250324285013993e-4,pre0_mod05_post0
1e-4,0.75,pr_auc,binary,0.9694058536829663,5,7.358538017824015e-4,pre0_mod04_post0
1e-4,0.5,pr_auc,binary,0.969320848363048,5,7.448320921522257e-4,pre0_mod03_post0
1e-4,0.25,pr_auc,binary,0.969243804978787,5,7.48808343419668e-4,pre0_mod02_post0
2.782559402207126e-4,1,pr_auc,binary,0.9692383735684666,5,7.470052957437534e-4,pre0_mod10_post0
2.782559402207126e-4,0.75,pr_auc,binary,0.9690727738032229,5,7.61481892146659e-4,pre0_mod09_post0
2.782559402207126e-4,0.5,pr_auc,binary,0.9688892510649072,5,7.739768328751755e-4,pre0_mod08_post0
2.782559402207126e-4,0.25,pr_auc,binary,0.9687459853458533,5,7.753494747650351e-4,pre0_mod07_post0
7.74263682681127e-4,1,pr_auc,binary,0.9686479559367234,5,7.588343264705144e-4,pre0_mod15_post0
7.74263682681127e-4,0.75,pr_auc,binary,0.9682175758819228,5,7.781641646909392e-4,pre0_mod14_post0
